replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_left_y,left_y,2,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,int16_le,False,0.14163511890518096,3.0,5664.327003951075,-4.4919837249195927e-07,-0.0003195814322552022
16_left_y,left_y,3,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,int32_be,False,0.13224268549178175,1.0,2832.1635019755377,5.226827701554573e-11,-5.4132248948766064e-05
16_left_y,left_y,4,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,int16_be,False,0.1322425021479727,1.0,5664.327003951075,3.425446470110311e-06,-5.2944659113517325e-05
16_left_y,left_y,5,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,int16_le,True,0.09224709079821714,3.0,5664.327003951075,-9.857089942354915e-09,-0.00042886555912344704
16_left_y,left_y,6,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,uint16_be,False,0.09024806955047565,1.0,5664.327003951075,-1.796008900748741e-06,0.05747592252720226
16_left_y,left_y,7,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,uint32_be,False,0.09024785903312305,1.0,2832.1635019755377,-2.7404782719013695e-11,0.05747625517949636
16_left_y,left_y,8,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,4,int32_be,True,0.08631183394672404,3.0,2832.1635019755377,2.6686525879205783e-13,-0.00042860661025905547
16_left_y,left_y,9,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,int16_be,True,0.08631178565671803,3.0,5664.327003951075,1.7489053463663505e-08,-0.0004286065731863614
16_left_y,left_y,10,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,uint16_le,True,0.08580312961525642,3.0,5664.327003951075,1.3223847134929533e-08,-0.0004287141857609856
16_left_y,left_y,11,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,uint16_be,True,0.0855583234078971,3.0,5664.327003951075,-4.321810599294383e-09,-0.0004281151178980253
